index,Unnamed: 0,scale,paper size,drawing title,building number,building name,name,area_air,perimeter,area_total,area_wall,volume_air,volume_wall,surface_area_wall,surface_area_roof,building_num_from_path
41,1746,0.02,A3,M Floor,MC062,Bowland Tower,Bowland Tower MC062_11,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
42,1761,0.02,A3,N Floor,MC062,Bowland Tower,Bowland Tower MC062_12,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
43,1776,0.02,A3,O Floor,MC062,Bowland Tower,Bowland Tower MC062_13,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
44,1791,0.02,A3,P Floor,MC062,Bowland Tower,Bowland Tower MC062_14,15.8,0,0,0.0,37.49866666666667,0.0,0.0,0,MC062
45,1792,0.02,A3,C Floor,MC062,Bowland Tower,Bowland Tower MC062_2,63.699999999999996,0,0,0.0,151.18133333333333,0.0,0.0,0,MC062
46,1801,0.02,A3,D Floor,MC062,Bowland Tower,Bowland Tower MC062_3,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
47,1816,0.02,A3,E Floor,MC062,Bowland Tower,Bowland Tower MC062_4,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
48,1831,0.02,A3,F Floor,MC062,Bowland Tower,Bowland Tower MC062_5,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
49,1846,0.02,A3,G Floor,MC062,Bowland Tower,Bowland Tower MC062_6,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
50,1861,0.02,A3,H Floor,MC062,Bowland Tower,Bowland Tower MC062_7,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
51,1876,0.02,A3,J Floor,MC062,Bowland Tower,Bowland Tower MC062_8,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
52,1891,0.02,A3,K Floor,MC062,Bowland Tower,Bowland Tower MC062_9,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
53,1906,0.02,A3,B Floor,MC053,Central Workshops,Central Workshops MC053_1,75.2,0,0,0.0,0.0,0.0,0.0,0,MC053
54,1910,0.01,A1,A Floor,MC048,Chaplaincy Centre,Chaplaincy Centre MC048_0,248.79999999999998,0,0,0.0,0.0,0.0,0.0,0,MC048
55,1920,0.01,A1,B Floor,MC048,Chaplaincy Centre,Chaplaincy Centre MC048_1,309.70000000000005,0,0,0.0,0.0,0.0,0.0,0,MC048
56,1947,0.01,A1,A Floor,MC202,Charles Carter,Charles Carter MC202_0,774.5,0,0,0.0,2163.9530000000004,0.0,0.0,0,MC202
57,1963,0.01,A1,B Floor,MC202,Charles Carter,Charles Carter MC202_1,561.3000000000003,0,0,0.0,1568.272200000001,0.0,0.0,0,MC202
58,2004,0.01,A1,C Floor,MC202,Charles Carter,Charles Carter MC202_2,675.8000000000001,0,0,0.0,1888.1852000000006,0.0,0.0,0,MC202
59,2052,0.01,A1,D Floor,MC202,Charles Carter,Charles Carter MC202_3,849.7000000000002,0,0,0.0,2374.061800000001,0.0,0.0,0,MC202
60,2101,0.01,A1,E Floor,MC202,Charles Carter,Charles Carter MC202_4,1121.1999999999998,0,0,0.0,3132.6328,0.0,0.0,0,MC202
61,2109,0.005,A2,A Floor,MC033,John Creed,County John Creed MC033_0,946.4000000000001,0,0,0.0,0.0,0.0,0.0,0,MC033
62,2170,0.005,A2,B Floor,MC033,John Creed,County John Creed MC033_1,928.7000000000004,0,0,0.0,0.0,0.0,0.0,0,MC033
63,2234,0.005,A2,C Floor,MC033,John Creed,County John Creed MC033_2,944.2000000000005,0,0,0.0,0.0,0.0,0.0,0,MC033
64,2299,0.005,A2,D Floor,MC033,John Creed,County John Creed MC033_3,944.2000000000005,0,0,0.0,0.0,0.0,0.0,0,MC033
65,2364,0.01,A1,A Floor,MC010,County Main,County Main MC010_0,1565.109999999999,0,0,0.0,3818.8683999999976,0.0,0.0,0,MC010
66,2431,0.01,A1,B Floor,MC010,County Main,County Main MC010_1,1765.1000000000033,0,0,0.0,4306.844000000008,0.0,0.0,0,MC010
67,2559,0.01,A1,C Floor,MC010,County Main,County Main MC010_2,1157.9000000000017,0,0,0.0,2825.276000000004,0.0,0.0,0,MC010
68,2674,0.01,A1,D Floor,MC010,County Main,County Main MC010_3,1363.0000000000027,0,0,0.0,3325.7200000000066,0.0,0.0,0,MC010
69,2776,0.01,A1,E Floor,MC010,County Main,County Main MC010_4,677.0000000000003,0,0,0.0,1651.8800000000008,0.0,0.0,0,MC010
70,2863,0.005,A1,A Floor,MC032,County South,County South MC032_0,1706.6000000000006,0,0,0.0,0.0,0.0,0.0,0,MC032
71,2918,0.005,A1,C Floor,MC032,County South,County South MC032_2,1015.5999999999998,0,0,0.0,0.0,0.0,0.0,0,MC032
72,3008,0.005,A1,D Floor,MC032,County South,County South MC032_3,717.0999999999999,0,0,0.0,0.0,0.0,0.0,0,MC032
73,3070,0.005,A1,E Floor,MC032,County South,County South MC032_4,278.59999999999997,0,0,0.0,0.0,0.0,0.0,0,MC032
74,3093,0.01,A2,A Floor,MC01,Croft,Croft MC001_0,415.90000000000003,0,0,0.0,0.0,0.0,0.0,0,MC001
75,3111,0.01,A2,B Floor,MC01,Croft,Croft MC001_1,233.19999999999996,0,0,0.0,0.0,0.0,0.0,0,MC001
76,3134,0.02,A1,External,MC212,cTAP,cTAP MC212_0,14.5,0,0,0.0,0.0,0.0,0.0,0,MC212
77,3136,0.02,A1,A Floor,MC212,cTAP,cTAP MC212_1,299.1,0,0,0.0,0.0,0.0,0.0,0,MC212
78,3150,0.02,A1,B Floor,MC212,cTAP,cTAP MC212_2,292.3,0,0,0.0,0.0,0.0,0.0,0,MC212
79,3163,0.02,A1,C Floor,MC212,cTAP,cTAP MC212_3,294.59999999999997,0,0,0.0,0.0,0.0,0.0,0,MC212
80,3174,0.02,A1,Roof,MC212,cTAP,cTAP MC212_5,14.2,0,0,0.0,0.0,0.0,0.0,0,MC212
81,3175,0.01,A1,A Floor,MC210,engineering,engineering MC210_0,1541.3,0,0,0.0,0.0,0.0,0.0,0,MC210
82,3203,0.01,A1,B Floor,MC210,engineering,engineering MC210_1,353.8,0,0,0.0,0.0,0.0,0.0,0,MC210
83,3226,0.01,A1,C Floor,MC210,engineering,engineering MC210_2,613.0000000000002,0,0,0.0,0.0,0.0,0.0,0,MC210
84,3255,0.01,A1,D Floor,MC210,engineering,engineering MC210_3,561.5000000000001,0,0,0.0,0.0,0.0,0.0,0,MC210
85,3285,0.01,A1,E Floor,MC210,engineering,engineering MC210_4,184.3,0,0,0.0,0.0,0.0,0.0,0,MC210
86,3287,0.005,A1,A Floor,MC044,Faraday,Faraday MC044_0,2538.099999999999,0,0,0.0,0.0,0.0,0.0,0,MC044
87,3391,0.005,A1,B Floor,MC044,Faraday,Faraday MC044_1,941.6,0,0,0.0,0.0,0.0,0.0,0,MC044
88,3420,0.01,A1,C Floor,MC044,Faraday,Faraday MC044_2,649.6999999999998,0,0,0.0,0.0,0.0,0.0,0,MC044
89,3441,0.01,A1,D Floor,MC044,Faraday,Faraday MC044_3,126.8,0,0,0.0,0.0,0.0,0.0,0,MC044
90,3445,0.01,A2,A Floor,MC041,FASS,FASS MC041_0,455.00000000000006,0,0,0.0,0.0,0.0,0.0,0,MC041
91,3463,0.01,A2,B Floor,MC041,FASS,FASS MC041_1,250.19999999999996,0,0,0.0,0.0,0.0,0.0,0,MC041
92,3480,0.01,A2,C Floor,MC041,FASS,FASS MC041_2,282.8,0,0,0.0,0.0,0.0,0.0,0,MC041
93,3503,0.01,A2,D Floor,MC041,FASS,FASS MC041_3,334.0,0,0,0.0,0.0,0.0,0.0,0,MC041
94,3529,NTS,A1,LG Floor,MC071,Furness College,Furness College MC071_0,353.29999999999995,0,0,0.0,0.0,0.0,0.0,0,MC071
95,3551,NTS,A1,A Floor,MC071,Furness College,Furness College MC071_1,2202.6999999999994,0,0,0.0,0.0,0.0,0.0,0,MC071
96,3598,NTS,A1,B Floor,MC071,Furness College,Furness College MC071_2,1019.3999999999988,0,0,0.0,0.0,0.0,0.0,0,MC071
97,3690,NTS,A1,C Floor,MC071,Furness College,Furness College MC071_3,1076.0999999999997,0,0,0.0,0.0,0.0,0.0,0,MC071
98,3767,NTS,A1,D Floor,MC071,Furness College,Furness College MC071_4,832.4000000000002,0,0,0.0,0.0,0.0,0.0,0,MC071
99,3799,0.01,A1,A Floor,MC072,Fylde College,Fylde College MC072_0,1221.6999999999998,0,0,0.0,0.0,0.0,0.0,0,MC072
100,3837,0.01,"

A1",B Floor,"

MC072",Fylde College,Fylde College MC072_1,1327.0799999999997,0,0,0.0,0.0,0.0,0.0,0,MC072
101,3908,0.01,"

A1",C Floor,"

MC072",Fylde College,Fylde College MC072_2,1369.3999999999996,0,0,0.0,0.0,0.0,0.0,0,MC072
102,3985,0.01,A1,"

D Floor",MC072,Fylde College,Fylde College MC072_3,841.3999999999999,0,0,0.0,0.0,0.0,0.0,0,MC072
103,4033,0.01,A1,"

E Floor",=MC72,Fylde College,Fylde College MC072_4,48.5,0,0,0.0,0.0,0.0,0.0,0,MC072
